t x v M dripped?
0 0 0 0.01 0
0.166119 0.19 0.950784 0.093558 1
0.213128 0.19 1.17329 0.0949652 1
0.266488 0.19 0.984903 0.0939499 1
0.313896 0.19 1.14071 0.0946628 1
0.366333 0.19 1.02439 0.0940434 1
0.415092 0.19 1.12123 0.094485 1
0.467016 0.19 1.0472 0.0941177 1
0.482016 0.156866 0.872646 0.0770226 0
0.51654 0.19 1.10725 0.0943883 1
0.568044 0.19 1.06107 0.094167 1
0.618037 0.19 1.098 0.0943338 1
0.66925 0.19 1.06943 0.0941993 1
0.719524 0.19 1.09209 0.0943022 1
0.770547 0.19 1.07448 0.0942201 1
0.82099 0.19 1.08838 0.0942835 1
0.871892 0.19 1.07754 0.0942333 1
0.922437 0.19 1.08607 0.0942723 1
0.952437 0.169045 0.933884 0.0837656 0
0.973264 0.19 1.07941 0.0942415 1
1.02387 0.19 1.08465 0.0942655 1
1.07465 0.19 1.08055 0.0942466 1
1.1253 0.19 1.08377 0.0942614 1
1.17605 0.19 1.08125 0.0942498 1
1.22671 0.19 1.08322 0.0942588 1
1.27745 0.19 1.08168 0.0942517 1
1.32813 0.19 1.08289 0.0942573 1
1.37885 0.19 1.08194 0.0942529 1
1.41385 0.173893 0.966012 0.0863639 0
1.42954 0.19 1.08268 0.0942564 1
1.48026 0.19 1.0821 0.0942537 1
1.53095 0.19 1.08256 0.0942558 1
1.58166 0.19 1.0822 0.0942541 1
1.63236 0.19 1.08248 0.0942554 1
1.68307 0.19 1.08226 0.0942544 1
1.73377 0.19 1.08243 0.0942552 1
1.78448 0.19 1.0823 0.0942546 1
1.83518 0.19 1.0824 0.0942551 1
1.87518 0.178807 1.00483 0.0888695 0
1.88589 0.19 1.08232 0.0942547 1
1.93659 0.19 1.08239 0.094255 1
1.9873 0.19 1.08234 0.0942547 1
2.038 0.19 1.08238 0.0942549 1
2.08871 0.19 1.08234 0.0942548 1
2.13941 0.19 1.08237 0.0942549 1
2.19012 0.19 1.08235 0.0942548 1
2.24082 0.19 1.08236 0.0942549 1
2.29152 0.19 1.08235 0.0942548 1
2.33652 0.183931 1.04383 0.0913856 0
2.34223 0.19 1.08236 0.0942549 1
2.39293 0.19 1.08235 0.0942548 1
2.44364 0.19 1.08236 0.0942549 1
2.49434 0.19 1.08236 0.0942548 1
2.54505 0.19 1.08236 0.0942549 1
2.59575 0.19 1.08236 0.0942548 1
2.64646 0.19 1.08236 0.0942549 1
2.69716 0.19 1.08236 0.0942548 1
2.74787 0.19 1.08236 0.0942548 1
2.79787 0.189239 1.07812 0.0939005 0
2.79857 0.19 1.08236 0.0942548 1
2.84927 0.19 1.08236 0.0942548 1
2.89998 0.19 1.08236 0.0942548 1
2.95068 0.19 1.08236 0.0942548 1
3.00139 0.19 1.08236 0.0942548 1
3.05209 0.19 1.08236 0.0942548 1
3.1028 0.19 1.08236 0.0942548 1
3.1535 0.19 1.08236 0.0942548 1
3.20421 0.19 1.08236 0.0942548 1
3.25921 0.194699 1.10425 0.0964155 0
3.25491 0.19 1.08236 0.0942548 1
3.30561 0.19 1.08236 0.0942548 1
3.35632 0.19 1.08236 0.0942548 1
3.40702 0.19 1.08236 0.0942548 1
3.45773 0.19 1.08236 0.0942548 1
3.50843 0.19 1.08236 0.0942548 1
3.55914 0.19 1.08236 0.0942548 1
3.60984 0.19 1.08236 0.0942548 1
3.66055 0.19 1.08236 0.0942548 1
3.71125 0.19 1.08236 0.0942548 1
3.71625 0.145827 1.01395 0.0712655 0
3.76195 0.19 1.08236 0.0942548 1
3.81266 0.19 1.08236 0.0942548 1
3.86336 0.19 1.08236 0.0942548 1
3.91407 0.19 1.08236 0.0942548 1
3.96477 0.19 1.08236 0.0942548 1
4.01548 0.19 1.08236 0.0942548 1
4.06618 0.19 1.08236 0.0942548 1
4.11689 0.19 1.08236 0.0942548 1
4.16759 0.19 1.08236 0.0942548 1
4.17759 0.15075 0.958241 0.0737805 0
4.2183 0.19 1.08236 0.0942548 1
4.269 0.19 1.08236 0.0942548 1
4.3197 0.19 1.08236 0.0942548 1
4.37041 0.19 1.08236 0.0942548 1
4.42111 0.19 1.08236 0.0942548 1
4.47182 0.19 1.08236 0.0942548 1
4.52252 0.19 1.08236 0.0942548 1
4.57323 0.19 1.08236 0.0942548 1
4.62393 0.19 1.08236 0.0942548 1
4.63893 0.155441 0.921493 0.0762955 0
4.67464 0.19 1.08236 0.0942548 1
4.72534 0.19 1.08236 0.0942548 1
4.77604 0.19 1.08236 0.0942548 1
4.82675 0.19 1.08236 0.0942548 1
4.87745 0.19 1.08236 0.0942548 1
4.92816 0.19 1.08236 0.0942548 1
4.97886 0.19 1.08236 0.0942548 1
5.02957 0.19 1.08236 0.0942548 1
5.08027 0.19 1.08236 0.0942548 1
5.10027 0.160001 0.906102 0.0788105 0
5.13098 0.19 1.08236 0.0942548 1
5.18168 0.19 1.08236 0.0942548 1
5.23239 0.19 1.08236 0.0942548 1
5.28309 0.19 1.08236 0.0942548 1
5.33379 0.19 1.08236 0.0942548 1
5.3845 0.19 1.08236 0.0942548 1
5.4352 0.19 1.08236 0.0942548 1
5.48591 0.19 1.08236 0.0942548 1
5.53661 0.19 1.08236 0.0942548 1
5.56161 0.164536 0.911051 0.0813255 0
5.58732 0.19 1.08236 0.0942548 1
5.63802 0.19 1.08236 0.0942548 1
5.68873 0.19 1.08236 0.0942548 1
5.73943 0.19 1.08236 0.0942548 1
5.79013 0.19 1.08236 0.0942548 1
5.84084 0.19 1.08236 0.0942548 1
5.89154 0.19 1.08236 0.0942548 1
5.94225 0.19 1.08236 0.0942548 1
5.99295 0.19 1.08236 0.0942548 1
6.02295 0.16914 0.932735 0.0838405 0
6.04366 0.19 1.08236 0.0942548 1
6.09436 0.19 1.08236 0.0942548 1
6.14507 0.19 1.08236 0.0942548 1
6.19577 0.19 1.08236 0.0942548 1
6.24648 0.19 1.08236 0.0942548 1
6.29718 0.19 1.08236 0.0942548 1
6.34788 0.19 1.08236 0.0942548 1
6.39859 0.19 1.08236 0.0942548 1
6.44929 0.19 1.08236 0.0942548 1
6.48429 0.173883 0.965947 0.0863555 0
6.5 0.19 1.08236 0.0942548 1
6.5507 0.19 1.08236 0.0942548 1
6.60141 0.19 1.08236 0.0942548 1
6.65211 0.19 1.08236 0.0942548 1
6.70282 0.19 1.08236 0.0942548 1
6.75352 0.19 1.08236 0.0942548 1
6.80422 0.19 1.08236 0.0942548 1
6.85493 0.19 1.08236 0.0942548 1
6.90563 0.19 1.08236 0.0942548 1
6.94563 0.178809 1.00485 0.0888705 0
6.95634 0.19 1.08236 0.0942548 1
7.00704 0.19 1.08236 0.0942548 1
7.05775 0.19 1.08236 0.0942548 1
7.10845 0.19 1.08236 0.0942548 1
7.15916 0.19 1.08236 0.0942548 1
7.20986 0.19 1.08236 0.0942548 1
7.26057 0.19 1.08236 0.0942548 1
7.31127 0.19 1.08236 0.0942548 1
7.36197 0.19 1.08236 0.0942548 1
7.40697 0.183931 1.04383 0.0913855 0
7.41268 0.19 1.08236 0.0942548 1
7.46338 0.19 1.08236 0.0942548 1
7.51409 0.19 1.08236 0.0942548 1
7.56479 0.19 1.08236 0.0942548 1
7.6155 0.19 1.08236 0.0942548 1
7.6662 0.19 1.08236 0.0942548 1
7.71691 0.19 1.08236 0.0942548 1
7.76761 0.19 1.08236 0.0942548 1
7.81831 0.19 1.08236 0.0942548 1
